unit,accident,victim,pers_inv,geo,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
NR,COLLIS,KIL,EMP,NO,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,PL,0,0,0,0,0,5,0,0,0,0,1,1
NR,COLLIS,KIL,EMP,PT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,RO,0,2,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,SE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,SI,0,0,0,0,0,0,0,0,0,0,0,1
NR,COLLIS,KIL,EMP,SK,0,0,0,0,0,0,0,1,0,0,0,0
NR,COLLIS,KIL,EMP,TR,0,0,1,0,0,2,2,1,1,0,0,0
NR,COLLIS,KIL,EMP,UK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,AT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,BE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,BG,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,CH,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,CHUNNEL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,CZ,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,DE,0,0,0,0,0,0,0,0,0,0,1,0
NR,COLLIS,KIL,LV_USR,DK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,EE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,EL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,ES,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,EU28,0,3,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,FI,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,FR,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,HR,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,HU,0,3,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,IE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,IT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,LT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,LU,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,LV,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,NL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,NO,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,PL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,PT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,RO,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,SE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,SI,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,SK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,LV_USR,UK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,AT,1,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,BE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,BG,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,CH,0,0,0,0,2,0,1,0,0,0,0,0
NR,COLLIS,KIL,OTH,CHUNNEL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,CZ,0,0,0,0,0,0,0,1,0,0,0,0
NR,COLLIS,KIL,OTH,DE,0,0,0,0,0,2,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,DK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,EE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,EL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,ES,0,0,0,0,0,2,0,0,0,2,0,0
NR,COLLIS,KIL,OTH,EU28,1,0,0,2,3,4,0,3,0,0,0,0
NR,COLLIS,KIL,OTH,FI,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,FR,0,0,0,0,0,0,0,0,0,0,2,0
NR,COLLIS,KIL,OTH,HR,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,HU,0,0,0,0,0,0,0,0,0,0,1,0
NR,COLLIS,KIL,OTH,IE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,IT,0,0,0,0,2,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,LT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,LU,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,LV,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,ME,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,MK,0,0,0,0,0,0,0,9,0,0,0,0
NR,COLLIS,KIL,OTH,NL,0,0,0,1,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,NO,0,0,0,0,0,0,0,3,0,0,0,0
NR,COLLIS,KIL,OTH,PL,0,0,0,0,1,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,PT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,RO,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,SE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,SI,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,SK,0,0,0,0,0,0,0,2,0,0,0,0
NR,COLLIS,KIL,OTH,TR,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,OTH,UK,0,0,0,1,0,0,0,0,0,0,0,1
NR,COLLIS,KIL,PAS,AT,0,0,1,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,PAS,BE,0,2,0,0,0,0,0,18,0,0,0,0
NR,COLLIS,KIL,PAS,BG,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,PAS,CH,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,PAS,CHUNNEL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,PAS,CZ,0,0,0,0,0,0,1,0,0,8,0,0
NR,COLLIS,KIL,PAS,DE,0,7,0,0,0,1,8,0,0,0,0,0
NR,COLLIS,KIL,PAS,DK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,PAS,EE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,PAS,EL,0,0,0,0,0,0,0,0,0,0,0,1
NR,COLLIS,KIL,PAS,ES,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,PAS,EU28,0,28,1,0,0,13,9,19,0,0,0,0
NR,COLLIS,KIL,PAS,FI,0,0,0,0,0,0,0,0,0,0,0,0
